Hotel_Name,Region,Website,Email,Phone,Has_Chatbot,Outreach_Status,Outreach_Date,Personalized_Subject,Notes
Mithra Cave Hotel,Kapadokya / Göreme,https://mithracavehotel.com,info@mithracavehotel.com,+903842712295,False,Sent,2026-09-12 03:30:20,Mithra Cave Hotel İçin Ücretsiz AI Asistan Deneyimi</div>,Scraped & Verified (No Chatbot)
Taskonaklar Cave Hotel,Kapadokya / Uçhisar,https://taskonaklar.com,info@taskonaklar.com,+903842193001,False,Sent,2026-09-12 03:31:57,Otelinizin Müşteri Deneyimini Geliştirin</div>,Scraped & Verified (No Chatbot)
Museum Hotel Cappadocia,Kapadokya / Uçhisar,https://museumhotel.com.tr,reservation@lil-a.com.tr,1788707072,False,Sent,2026-09-12 03:33:44,Museum Hotel için 7/24 Canlı Destek Çözümü,Scraped & Verified (No Chatbot)
Lissiya Hotel,Fethiye / Faralya,https://lissiyahotel.com,info@lissiyahotel.com,902524240077,False,Sent,2026-09-12 03:36:06,Lissiya Hotel için 7/24 Canlı Destek Çözümü,Scraped & Verified (No Chatbot)
Perdue Hotel,Fethiye / Faralya,https://perdue.com.tr,info@perdue.com.tr,+90%20(252)%20614%200091,False,Sent,2026-09-12 03:38:02,Perdue Hotel için Ücretsiz AI Canlı Destek Deneyimi</strong>,Scraped & Verified (No Chatbot)
Lukka Exclusive Hotel,Kaş / Çukurbağ,https://lukkahotel.com,booking@lukkahotel.com,+905428361420,False,Sent,2026-09-12 03:40:12,Oteliniz için 7/24 Canlı Destek Çözümü</p>,Scraped & Verified (No Chatbot)
Alavya Hotel,Alaçatı / Çeşme,https://alavya.com.tr,info@alavya.com,+902327166632,False,Sent,2026-09-12 03:42:42,Alavya Hotel için 7/24 Canlı Destek Çözümü,Scraped & Verified (No Chatbot)
Ridos Thermal Hotel,İkizdere / Rize,https://ridos.com.tr,info@ridos.com.tr,0348593687,False,Pending,,,Scraped & Verified (No Chatbot)
Hotel Sultania,İstanbul / Sultanahmet,https://hotelsultania.com,info@hotelsultania.com,+902125280806,False,Pending,,,Scraped & Verified (No Chatbot)
The Bank Hotel Istanbul,İstanbul / Karaköy,https://thebankhotelistanbul.com,tbh@thebankhotelistanbul.com,+90 212 283 00 55,False,Pending,,,Scraped & Verified (No Chatbot)
Pera Palace Hotel,İstanbul / Beyoğlu,https://perapalace.com,info@perapalace.com,+90 (0212) 377 40 00,False,Pending,,,Scraped & Verified (No Chatbot)
Caresse Luxury Resort,Bodrum / Muğla,https://caresse.com.tr,info@caresse.com,2545352419,False,Pending,,,Scraped & Verified (No Chatbot)
Ada Hotel Bodrum,Bodrum / Türkbükü,https://adahotel.com,info@adahotel.com,616.803.8595,False,Pending,,,Scraped & Verified (No Chatbot)
Richmond Nua Wellness Spa,Sapanca / Sakarya,https://richmondnua.com,richmond@richmondnua.com,+90 264 582 21 00,False,Pending,,,Scraped & Verified (No Chatbot)
